"id","geom","filename","code","value","datetime","camera_model","gpsimagedirection","azimuth","bbox_in_picture","sign_center","lon_picture","lat_picture","sequence_id","picture_id","result"
44,NULL,"69c1b150094fc5d5103a663cb084d7a00b0777fd21e1347bc2e87d566bac4a6d.jpg","A00",NULL,"2022-10-05 18:34:10","PULSAR","343.63",NULL,"[6080,2720,6224,2896]",NULL,"7.709832","48.588475","be0c6843-3459-4f8c-ae63-4f53daf4b85b","a148c09c-3e1d-4e23-bd01-0d1bab6f914b",NULL
45,NULL,"69d88167542b457af37f0a713b4a3360437fe38d27a718064b08562cbee4dbe0.jpg","A00",NULL,"2021-08-10 13:11:57","LB5","234.81",NULL,"[4080,2016,4192,2176]",NULL,"7.735332","48.544956","8244139a-8954-440d-9a1d-dacaecf2dcee","acff4daf-035e-4769-b26a-75395cad94e9",NULL
46,NULL,"6a11b678c757441fa723f98f563060956a8d0715c790549a9b1264d6868dc46b.jpg","A00",NULL,"2021-08-10 15:13:44","LB5","278.22",NULL,"[2976,1920,3184,2144]",NULL,"7.724172","48.534806","082a6b70-8bbe-44bf-be59-73bfa34be22f","0be4277e-2e71-442d-8181-d88c4af3650c",NULL
47,NULL,"704e30a2f9474832d99493e53000e928dc3226068eaa8a02620c30f71538dc36.jpg","A00",NULL,"2022-10-14 15:25:28","PULSAR","250.29",NULL,"[5056,2720,5232,2960]",NULL,"7.728351","48.547366","f37b05a8-7153-4715-b3d7-a64914501072","445ac543-2cf2-49b6-a945-708f6eeb63a3",NULL
48,NULL,"70801873ce7232f1ef1192a5215dbe81ae29f71007eda5e4821d878ead2fcf35.jpg","A00",NULL,"2021-08-10 16:01:40","LB5","235.89",NULL,"[1056,2048,1168,2240]",NULL,"7.761697","48.494675","71e96e77-28f5-49d6-8000-92b7011b1abb","4db400e3-9216-4769-945e-bee2cf0ca759",NULL
49,NULL,"70f5b0c1299dfd581095aa3bae194a27ff0d1f382714e170418691f1224f6032.jpg","A00",NULL,"2022-06-03 14:36:47","PULSAR","85.28",NULL,"[6064,2640,6192,2832]",NULL,"7.754257","48.557227","9db7671e-597b-409a-b929-b12f013e1b1c","f3683034-1bf8-4ba3-a6d6-fca9d0b55e88",NULL
50,NULL,"719af23991391501e5f2badb6fbbc74b0a09af6573154efb6b375f8777a6a766.jpg","A00",NULL,"2021-11-17 12:09:28","PULSAR","42.5",NULL,"[6032,2768,6144,2928]",NULL,"7.746232","48.537213","c3760aee-7d58-4ceb-9b95-3d670f14c4f4","d865ba33-5320-4e5c-bca5-7f60f07790db",NULL
51,NULL,"71fd39e562872606ed20348ad297622194d6a21f27083aaf73aec6bc478fdb0f.jpg","A00",NULL,"2022-06-16 13:52:43","PULSAR","19.04",NULL,"[1296,2784,1488,3136]",NULL,"7.6986","48.536505","5371ab82-ff14-411d-83dc-322f96983f2f","a1924633-0603-4f13-b147-b67790dc00bf",NULL
52,NULL,"74183ebe3f63c74b795ca6205e9e7ffb08bf5c89c6d5882726d1c4c35dc963bc.jpg","A00",NULL,"2021-08-18 15:37:10","Pilot","89.09",NULL,"[3744,1920,3824,2032]",NULL,"7.734409","48.527052","891b66a0-4236-40de-a292-90af04709d76","2a01e471-b3a6-457b-8ec3-a7af4539da45",NULL
53,NULL,"742a2847bc17f3c9071cdfaec7b99962111f95cfdd0a3c120f3ce5129367d613.jpg","A00",NULL,"2022-07-13 16:17:22","PULSAR","184.28",NULL,"[4256,2720,4416,2928]",NULL,"7.597286","48.577423","f58b1220-7a3c-4192-85c4-ca5571040f70","4b8ccbcd-6223-44ce-844e-b9c7f6a15263",NULL
54,NULL,"783fbcea2a8b774fb2743309bb04755247d598e950dd6faaef54e559b41b45e3.jpg","A00",NULL,"2021-08-17 17:23:54","Pilot","31.13",NULL,"[1968,2016,2048,2128]",NULL,"7.790345","48.584979","6b86e607-be72-4e13-9023-ba90554460d3","cb774aae-7531-49c8-b380-10d3b6c6768e",NULL
55,NULL,"79f3efc74d50ab21cd727ac46dbd8619ad78b136157bf2f618585a2b07a62ad9.jpg","A00",NULL,"2021-08-18 15:37:01","Pilot","55.11",NULL,"[304,1840,384,1952]",NULL,"7.733871","48.526942","3aa41e17-428f-4b02-8f3c-5df4876cd86d","2055d81d-b6fc-4d48-aa28-76d4a504b82b",NULL
56,NULL,"7c27ee36981b21c49786bb434d9f81ced4ca68105eb2fb6cbeda83601f9ebf59.jpg","A00",NULL,"2022-10-11 12:14:39","PULSAR","43.86",NULL,"[7840,2768,7968,2944]",NULL,"7.727977","48.587291","be0c6843-3459-4f8c-ae63-4f53daf4b85b","02a210c7-10e3-4d62-ae79-56265acf7741",NULL
57,NULL,"7feb7de422f7de387df85e754815f58b1569dba86ada484a980f4fdfd1b80175.jpg","A00",NULL,"2021-08-17 11:50:35","Pilot","101.26",NULL,"[7408,1776,7504,1920]",NULL,"7.724875","48.562339","af7acaf9-1dbe-4b75-bf0b-206b8ae3da3e","2db17fe9-3e29-4b82-a28c-a6103c8bfd97",NULL
58,NULL,"81dbb8a4e14b12e8f8839c3f40dc486bf44f24940f4429c7257e646479e04df1.jpg","A00",NULL,"2022-07-14 13:40:56","PULSAR","135.85",NULL,"[10480,2592,10608,2768]",NULL,"7.654928","48.540984","3ffbbd3e-c34f-4856-b526-50893f61065f","776c88e7-00ec-46af-b19f-096a1845973e",NULL
59,NULL,"83440d62e917856500f4f23cf2305f648c460a597f3045d26c0415dcf030f262.jpg","A00",NULL,"2021-08-12 11:48:14","Pilot","219.13",NULL,"[2496,2048,2576,2160]",NULL,"7.75784","48.62696","e425fb2b-1403-4b5b-a7fa-02eb231f180d","bda94324-f224-43ee-840f-8ecfc49e2b47",NULL
60,NULL,"87f8a16d1258640832ac3762e52aeb7b5fdb3b150e7e70f04f127fa3d01eb787.jpg","A00",NULL,"2021-08-17 17:36:33","Pilot","89.77",NULL,"[6848,1728,6992,1904]",NULL,"7.781594","48.589771","ef534734-2aa5-4dac-8cec-62315068d666","414378dd-79a6-40ea-8a1d-ddeee96625c8",NULL
61,NULL,"88ac685d08470cd144bf306b68a19639b14713139a32e22d9f58f57aa7f0d421.jpg","A00",NULL,"2022-10-14 11:46:07","PULSAR","27.67",NULL,"[8672,2608,8912,2928]",NULL,"7.699971","48.516684","c3a9d3ea-fae3-4a87-92b3-256bcad5b087","7581e48d-f562-40fa-addf-a6b2a4dbc9df",NULL
62,NULL,"89ff905c249c5e13718a19827452fdb34fde3b650015f26d01705025a54b48f1.jpg","A00",NULL,"2022-10-11 16:10:01","PULSAR","48.85",NULL,"[6432,2736,6592,2960]",NULL,"7.737343","48.593388","71e6f860-2e7c-45b8-bdcd-a6bc08006810","7a9decf1-0440-463f-8904-49c3e567b0c0",NULL
